,序号,学校名称,学校标识码,主管部门,所在地,办学层次,备注,countOfCity
748,1475,潍坊环境工程职业学院,4137014710,山东省教育厅,潍坊市,专科,民办,11
749,1476,滨州科技职业学院,4137014749,山东省教育厅,滨州市,专科,民办,2
750,1534,河南职业技术学院,4141010824,河南省,郑州市,专科,,41
751,1535,漯河职业技术学院,4141010835,河南省,漯河市,专科,,3
752,1536,三门峡职业技术学院,4141010842,河南省,三门峡市,专科,,2
753,1537,郑州铁路职业技术学院,4141010843,河南省,郑州市,专科,,41
754,1538,开封大学,4141011069,河南省,开封市,专科,,5
755,1539,焦作大学,4141011522,河南省,焦作市,专科,,4
756,1540,濮阳职业技术学院,4141011787,河南省,濮阳市,专科,,3
757,1541,郑州电力高等专科学校,4141011828,河南省,郑州市,专科,,41
758,1542,黄河水利职业技术学院,4141012058,河南省,开封市,专科,,5
759,1543,许昌职业技术学院,4141012067,河南省,许昌市,专科,,3
760,1544,河南工业和信息化职业学院,4141012581,河南省,焦作市,专科,,4
761,1545,河南水利与环境职业学院,4141012582,河南省,郑州市,专科,,41
762,1546,商丘职业技术学院,4141012745,河南省,商丘市,专科,,3
